,Song_name,eric-clapton
0,layla live at hammersmith odeon   ,"""See if you can spot this one"", ""What will you do when you get lonely?"", ""No one waiting by your side You've been running hiding much too long You know it's just your foolish pride"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""Tried to give you consolation When your old man had let you down Like a fool I fell in love with you You turned my whole world upside down, Layla"", ""Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""Make the best of the situation 'Fore I finally go insane Please don't say we'll never find a way Tell me all my love's in vain"", ""Layla Got me on my knees Layla I'm begging darling please Layla Darling won't you ease my worried mind?"", ""(Yeah-yeah-yeah-yeah)"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""(Yeah-yeah-yeah-yeah)"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind? Thank you"""
1,ill be seeing you   ,"""I'll be seeing you In all the old familiar places That this heart of mine embraces All day and through"", ""In that small cafe The park across the way The children's carousel The chestnut trees, the wishing well"", ""I'll be seeing you In every lovely summer's day In everything that's bright and gay I'll always think of you that way"", ""I'll find you in the morning sun And when the night is new I'll be looking at the moon But I'll be seeing you"", ""In that small cafe The park across the way The children's carousel The chestnut trees, the wishing well"", ""I'll be seeing you In every lovely summer's day In everything that's bright and gay I'll always think of you that way"", ""I'll find you in the morning sun And when the night is new I'll be looking at the moon But I'll be seeing you"""
2,hoochie coochie man   ,"""Gypsy woman told my mother 'fore I was born You got a boy-child coming, gonna be a son of a gun Gonna make pretty womens jump and shout And then the world wanna know what this all about"", ""But you know I'm here Everybody knows I'm here Well, I'm the hoochie coochie man Everybody knows I'm here"", ""I got the black cat bone and I got a mojo tooth I got the John the Conquerer Root, gonna mess with you I'm gonna make you girls lead me by my hand And then the world will know the hoochie coochie man"", ""But you know I'm here Everybody knows I'm here Well, I'm the hoochie coochie man Everybody knows I'm here"", ""On the seventh hour, on the seventh day On the seventh month, seven doctors say \""He was born for good luck, that you'll see\"" I got seven hundred dollars; don't you mess with me!"", ""But you know I'm here Everybody knows I'm here Well, I'm the hoochie coochie man Everybody knows I'm here"""
3,goin down slow   ,"""(by St. Louis Jimmy)"", ""I have had my fun if I never get well no more. I have had my fun if I never get well no more. All of my health is failing; Lord, I'm going down slow,"", ""I'm going down slow. Please write my mother and tell her the shape I'm in. Please write my mother and tell her the shape I'm in. Tell her to pray for me, Forgive me for my sin, For all of my sin."", ""On the next train south, look for my clothes back home. On the next train south, look for my clothes back home. 'Cause all of my health is failing; Lord, I'm going down slow, I'm going down slow."", ""All of my health is failing; Lord, I'm going down slow, I'm going down slow."", ""Feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow."""
4,baby whats wrong   ,"""Oh baby, honey what's wrong with you? Well now baby, honey what's wrong with you? Well, you don't treat me, baby, like you used to do."", ""I can't help it, baby, if I'm acting strange. I'm just hoping, baby, I'm not going insane. Well baby, honey what's wrong with you? Well now, you don't treat me, baby, like you used to do."", ""I can't help it, baby, if I'm acting strange. I'm just hoping, baby, I'm not going insane. Well baby, honey what's wrong with you? Well now, you don't treat me, baby, like you used to do."", ""Oh baby, honey what's wrong with you? Well now baby, honey what's wrong with you? Well, you don't treat me, baby, like you used to do."""
5,presence of the lord   ,"""by Eric Clapton"", ""I have finally found a way to live just like I never could before. I know that I don't have much to give, but I can open any door. Everybody knows the secret, everybody knows the score. I have finally found a way to live in the color of the Lord."", ""I have finally found a place to live just like I never could before. And I know I don't have much to give, but soon I'll open any door. Everybody knows the secret, everybody knows the score. I have finally found a place to live in the presence of the Lord. In the presence of the Lord."", ""I have finally found a way to live just like I never could before. And I know I don't have much to give, but I can open any door. Everybody knows the secret, I said everybody knows the score. I have finally found a way to live in the colour of the Lord. In the colour of the Lord."""
6,before you accuse me   ,"""Before you accuse me, take a look at yourself Before you accuse me, take a look at yourself You say I've been spending my money on other women You've been taking money from someone else"", ""I called your mama 'bout three or four nights ago I called your mama 'bout three or four nights ago Well your mother said \""Son\"" \""Don't call my daughter no more\"""", ""Before you accuse me, take a look at yourself Before you accuse me, take a look at yourself You say I've been spending my money on other women You've been taking money from someone else"", ""Come back home baby, try my love one more time Come back home baby, try my love one more time If I don't go on and quit you I'm gonna lose my mind"", ""Before you accuse me, take a look at yourself Before you accuse me, take a look at yourself You say I've been spending my money on other women You've been taking money from someone else"""
7,alabama woman blues   ,"""Did you ever go down On the Mobile and K C line"", ""Did you ever go down On the Mobile and K C line"", ""I just want to ask you Did you ever see that gal of mine"", ""I rode the Central And I hustled the L and N"", ""The Alabama women They live like section men"", ""Don't cry baby Your papa will be home some day"", ""I've been away baby But I did not go to stay"", ""Don't the clouds look lonesome Across the deep blue sea"", ""Don't my gal look good When she's coming after me"""
8,bright lights   ,
9,its christmas   ,"""Sleigh bells are in the atmosphere Keepin' the spirit alive Sugar belles out on the shopping spree Makin' sure the kids are alright Could it be a major movie's comin' in From the heavens above A big plate of my mama's cookin' brings The feeling of love"", ""Oh, how I wish I had my way I'd stay forever and a day"", ""Feel just like Christmas Baby, love is in the air Everybody's headin' home Just like Christmas Hear the bells just ring-a-ling Everybody's singin' along"", ""Everything the kids ever want is here From the toys to the shoes Santa Claus getting closer and closer I heard some talk on the news Baby, it's time to take a load off Come in and take your coat off and chill Settle down, your family and friends in here Can't explains how it feels"", ""Come on, if I can have my way I'd stay forever and a day"", ""Feel just like Christmas Baby, love is in the air Everybody's headin' home Just like Christmas Hear the bells just ring-a-ling Everybody's singin' along"", ""Feel just like Christmas Baby, love is in the air Everybody's headin' home Just like Christmas Hear the bells just ring-a-ling Everybody's singin' along"", ""Chestnuts roasting on an open fire And the spirit wants to take me higher Oh Lord, and if I had my way I'd give up all I own to stay and have my family home Nothing really matters, as long as I can feel this way"", ""Baby, love is in the air Everybody's headin' home Feel just like Christmas Hear the bells just ring-a-ling Everybody's singin' along"", ""Just like Christmas Baby, love is in the air Everybody's headin' home Feel just like Christmas Hear the bells just ring-a-ling Everybody's singin' along Just like Christmas"", ""Feel like Christmas Just like Christmas Feel like Christmas Just like Christmas"""
10,lay down sally live   ,
