,Song_name,metallica
0,the shortest straw   ,"""Suspicion is your name Your honesty to blame Put dignity to shame Dishonor Witchhunt, modern day Determining decay The blatant disarray Disfigure The public eyes' disgrace Defying common place Unending paper chase Unending Deafening Painstaking Wreckening This vertigo it doth bring"", ""Shortest straw Challenge liberty Downed by law Live in infamy Rub you raw Witchhunt riding through Shortest straw"", ""This shortest straw has been pulled for you"", ""Pulled for you Shortest straw Pulled for you Shortest straw Pulled for you"", ""Shortest straw Shortest straw has been pulled for you"", ""The accusations fly Discrimination, why? Your inner self to die Intruding Doubt sunk itself in you It's teeth and talons through You're living catch-22 Deluding A mass hysteria A megalomania Reveal dementia Reveal Secretly"", ""Silently Certainly In vertigo you will be"", ""Shortest straw Challenge liberty Downed by law Live in infamy"", ""Rub you raw Witchhunt riding through Shortest straw This shortest straw has been pulled for you"", ""Pulled for you Shortest straw"", ""Pulled for you Shortest straw Pulled for you Shortest straw Shortest straw has been pulled for you"", ""Shortest straw Pulled for you"", ""Shortest straw Pulled for you Shortest straw Pulled for you Shortest straw Shortest straw has been pulled for you"", ""Behind you, hands are tied Your being, ostracized Your hell is multiplied Upending The fallout has begun Oppressive damage done Your many turned to none To nothing You're reaching your nadir"", ""Your will has disappeared The lie is crystal clear Defending Channels red One word said Blacklisted With vertigo make you dead Shortest straw Challenge liberty Downed by law Live in infamy Rub you raw Witchhunt riding through Shortest straw This shortest straw has been pulled for you"""
1,all within my hands   ,"""All within my hands"", ""All within my hands Squeeze it in, crush it down All within my hands Hold it dear, hold it suffocate"", ""All within my hands Love to death Smack you round and round and All within my hands Beware"", ""Love is control I'll die if I let go Love is control I'll die if I let go"", ""Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hate me now Kill all within my hands again"", ""All within my hands Take your fear, pump me up All within my hands Let you run, then I pull your leash"", ""All within my hands All within my hands Under thumb, under to myself All within my hands Beware"", ""Love is control I'll die if I let go Love is control I'll die if I let go Let it go"", ""Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hate me now Kill all within my hands again"", ""I'll die if I let go Control is love, love is control I'll fall if I let go Control is love, love is control"", ""I will only let you breathe My air that you receive Then we'll see if I let you love me I will only let you breathe My air that you receive Then we'll see if I let you love me"", ""Love is control Hate me now Kill all within my hands Hate me now Crush all within my hands again (yeah, yeah) Choke all within my hands Squeeze all within my hands Hate me now Trap all within my hands Hate me now Kill all within my hands again Kill Kill Kill Kill Kill"""
2,low mans lyric   ,"""My eyes seek reality My fingers seek my veins There's a dog at your back step He must come in from the rain I fall 'cause I let go"", ""The net below has rot away So, my eyes seek reality"", ""And my fingers seek my veins The trash fire is warm But nowhere safe from the storm And I can't bear to see"", ""What I've let me be So, wicked and worn"", ""So, as I write to you Of what is done and to do Maybe you'll understand"", ""And won't cry for this man 'Cause low man is due Please forgive me"", ""My eyes seek reality"", ""My fingers feel for faith Touch clean with a dirty hand I touched the clean to the waste The trash fire is warm But nowhere safe from the storm"", ""And I can't bear to see What I've let me be"", ""So, wicked and worn So, as I write to you, yeah Of what is done and to do, yeah"", ""Maybe you'll understand And won't cry for this man"", ""'Cause low man is due Please forgive me Please forgive me"", ""Please forgive me So, low the sky is all I see All I want from you is forgive me So, you bring this poor dog in from the rain"", ""Though he just wants right back out again And I cry to the alleyway"", ""Confess all to the rain But I lie, lie straight to the mirror The one I've broken to match my face The trash fire is warm"", ""But nowhere safe from the storm And I can't bear to see What I've let me be So, wicked and worn So, as I write to you, yeah Of what is done and to do, yeah Maybe you'll understand And won't cry for this man 'Cause low man is due Please forgive me Please forgive me So, low the sky is all I see All I want from you is forgive me So, you bring this poor dog in from the rain Though he just wants right back out again My eyes seek reality My fingers seek my veins"""
3,the unvorgiven ii   ,"""Lay beside me Tell me what they've done Speak the words I wanna hear To make my demons run The door is locked now But it's open if you're true If you can understand the me Then I can understand the you"", ""Lay beside me, under wicked sky Through black of day, dark of night We share this paralyze The door cracks open But there's no sun shining through Black heart scarring darker still But there's no sun shining through No there's no sun shining through No there's no sun shining"", ""What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you? Yeah, what I've felt, what I've known Sick and tired, I stand alone Could you be there 'Cause I'm the one who waits for you Or are you unforgiven too?"", ""Come lay beside me This won't hurt I swear She loves me not, she loves me still But she'll never love again She lay beside me But she'll be there when I'm gone Black hearts scarring darker still Yes she'll be there when I'm gone Yes she'll be there when I'm gone Dead sure she'll be there"", ""What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you? Yeah, what I've felt, what I've known Sick and tired, I stand alone Could you be there 'Cause I'm the one who waits for you Or are you unforgiven too?"", ""Lay beside me Tell me what I've done The door is closed so are your eyes But now I see the sun Now I see the sun Yes now I see it"", ""What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you Yeah, what I've felt, what I've known So sick and tired, I stand alone Could you be there 'Cause I'm the one who waits The one who waits for you"", ""Oh, what I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you? Oh, what I've felt Oh, what I've known I'll take this key and I'll bury it in you Because you're unforgiven too Never free, never me 'Cause you're unforgiven too"""
4,sabbra cadabra   ,"""Feel so good, I feel so fine Love that little lady always on my mind She gives me loving every night and day Never gonna leave her, never going away"", ""Someone to love me You know she makes me feel all right, yeah (all right) Someone to need me Love me every single night, yeah"", ""Feel so happy since I met that girl When I'm with her It's something out of this world Feels so good to know that she's all mine Gonna love that girl 'til the end of time"", ""Someone to live for Love me 'til the end of time, hey, hey-yeah She makes me feel happy It's good to know that she's all mine"", ""I am the world that hides The universal secret of all time Destruction of the empty spaces Is my one and only crime I've lived a thousand times I found out what it means to be believed The thoughts and images The unborn child that never was conceived"", ""You gotta believe me Hey, I'm talking to you"", ""Well, I know, it's hard for you To know the reason why And I know you'll understand More when it's time to die Don't believe the life you have Will be the only one You have to let your body sleep To let your soul live on, haha"", ""Wo-ooh Feel so happy since I met that girl When we're making love It's something out of this world Feels so good to know that she's all mine Gonna love that woman 'til the end of time Someone to live for Love me 'til the end of time, yeah, ooh, oh She makes me feel happy It's good to know that she's all mine She's all mine, yeah Yo, ooh, yeah"""
5,just a bullet away   ,"""All roads they lead to shame All drowning in the blame All reflections look the same In the shine of the midnight revolver"", ""All hide beneath a skin A hope so paper thin I'm at the door again And the shine of the midnight revolver"", ""Even the promise of danger has gone dull Staring down the barrel of a 45"", ""Suck on the barrel Suck on the barrel Suck it 'til it's gone dry"", ""For all reflections look the same In the shine of the midnight revolver"", ""Redemption purify Will nothing satisfy The scars just multiply In the shine of the midnight revolver"", ""Twisting in apocalypse Death upon the fingertips Frigid metal touches lips And the shine of the midnight revolver"", ""'Cause you lied"", ""Just a bullet away Just a bullet away from leavin' you Just a bullet away Stop the voices in my head"", ""Caressing death again Becomes the heroin Forbidden medicine Puts a shine on the midnight revolver"", ""Eternal borderline All the faces intertwine Oh God ... now I see mine In the shine of the midnight revolver"", ""Even the promise of danger has gone dull Staring down the barrel of a 45"", ""Suck on the barrel Suck on the barrel Suck ... suck till it's dry"", ""For all reflections look the same In the shine of the midnight revolver"", ""Down In Misery Down In Misery"", ""Just a bullet away Just a bullet away from leavin' you Just a bullet away Stop the voices in my head"", ""All roads they lead to shame All drowning in the blame Reflections look the same In the shine of the midnight revolver"", ""All hide beneath a skin A hope so paper thin I'm at the door again And the shine of the midnight revolver Even the promise of danger has gone dull Staring down the barrel of a 45 Suck on the barrel Suck on the barrel Suck ... suck till it's dry Do all reflections look the same In the shine of the midnight revolver 'Cause you lied Yes you lied Just a bullet away Just a bullet away from leavin' you Just a bullet away Stop the voices in my head"""
6,astronomy originally recorded by blue oyster cult   ,"""The clock strikes twelve and moondrops burst Out at you from their hiding place? Like acid and oil on a madman's face His reasons tend to fly away"", ""Like lesser birds on the four winds, yeah Like silver scrapes in May Now the sands become a crust And most of you have gone away... Yea, gone away"", ""Ah, come Susie dear, let's take a walk Just out there upon the beach I know you'll soon be married And you'll want to know where winds come from"", ""Well, it's never said at all On the map that Carrie reads Behind the clock back there you know At the four winds bar, mm, yeah"", ""Yeah Hey! Hey! Hey! Hey! Four winds at the four winds bar Two doors locked, ten windows barred One door left to take you in The other one just mirrors it Hey! Hey! Yeah! Hey! Yeah! Hey!"", ""Ooh, in hellish glare and inference The other one's a duplicate The queenly flux, eternal light Or the light that never warms Yes, the light that never, never warms Yes, the light that never, never warms Never warms, never warms"", ""The clock strikes twelve and moondrops burst Out at you from their hiding place? Miss Carrie nurse and Susie dear Would find themselves at four winds bar"", ""It's the nexus of the crisis And the origin of storms Just the place to hopelessly Encounter time and then came me"", ""Hey! Hey! Hey! Hey!"", ""Call me Desdenova, eternal light These gravely digs of mine Will surely prove a sight And don't forget my dog, fixed and consequent"", ""Astronomy - a star Astronomy - a star Astronomy (astronomy) - a star, yeah Astronomy - a star"", ""Astronomy"""
7,whiskey in the jar   ,"""As I was goin' over The Cook and Kerry mountains I saw the Captain Farrell His money he was countin' I first produced my pistol And then produced my rapier I said, \""stand and deliver\"" Or the devil he may take ya"", ""I took all of his money And it was a pretty penny I took all of his money And I brought it home to Molly She swore that she'd love me No never would she leave me But devil take that woman! Yeah! For you know, she tricked me easy"", ""Mush a ring, dum-a-do dum-a-da Whack for my daddy-o Whack for my daddy-o There's whiskey in the jar-o"", ""Being drunk and weary I went to Molly's chamber Taking Molly with me But I never knew the danger For about six or maybe seven Yeah, I watched Captain Farrell I jumped up, with my pistols And I shot him with both barrells"", ""Mush a ring, dum-a-do dum-a-da Whack for my daddy-o Whack for my daddy-o There's whiskey in the jar-o"", ""Yeah, yeah, whiskey! Yeah, oh"", ""Now some men like the fishing And some men like the fowling And some men like the hear The hear cannon ball a roaring Me, I like sleeping Specially in my Molly's chamber But here I am in prison Here I am with a ball and chain, yeah"", ""Mush a ring, dum-a-do dum-a-da Whack for my daddy-o Whack for my daddy-o There's whiskey in the jar-o Yeah! Whiskey in the jar-o"", ""Mush a ring, dum-a-do dum-a-da Mush a ring, dum-a-do dum-a-da Mush a ring, dum-a-do dum-a-da Mush a ring, dum-a-do dum-a-da"""
8,for whom the bell tolls live   ,"""Make his fight on the hills in the early day Constant chill deep inside Shouting gun on they run through the endless gray"", ""On they fight for their right, yes, but who's to say?"", ""For a hill, men would kill, why? They do not know? wounds test their pride Men of five, still alive through the raging glow Gone insane from the pain and they surely know"", ""For whom the bell tolls Time marches on For whom the bell tolls"", ""Take a look to the sky just before you die It is the last time he will Blackened roar, massive roar fills the crumbling sky Shattered goal fills his soul with a ruthless cry"", ""Stranger now are his eyes to this mystery He hears the silence so loud Crack of dawn, all is gone except the will to be Now they see what will be blinded eyes to see"", ""For whom the bell tolls Time marches on For whom the bell tolls"""
9,we did it again   ,"""Au! (yeah) Yeah we did it (its on fire) (louder) (its on fire) Yeah we did it (we are ready to rock this) (scream) Yeah we did it (uh uh ye got Metallica, Metallica, in here) Yeah we did it (ja rule, ja rule, swiss, swiss, the monster)"", ""Lets go"", ""Just When you thought it was over Just When you thought it was Done Just When you thought it was safe now..."", ""Yeah, we did it, did it again"", ""Just When you thought it was over Just When you thought it was Done Just When you thought it was safe now..."", ""We did it, did it again"", ""Lets go"", ""Fast Cars, Fast Brauds Cause I'm a rock and rollstar baby born in the usa im gonna hit the highway on my harley do about 38 nothin else but take it easy any woman what wont please me I'll give her up anytihng that wont touch me or move me ill give it up and i know your all seriouse"", ""we did it, did it again"", ""More than this, never more you whipping boy Louder Yeah... we did it (louder) (scream) More than this, never more you whipping boy Yeah... we did it(louder) let's go..."", ""Just When you thought it was over Just When you thought it was done Just When you thought it was safe now..."", ""We did it, did it again"", ""Just When you thought it was over Just When you thought it was done Just When you thought it was safe now..."", ""We did it, did it again"", ""Who loves a little rock and roll mixed with a little bit hipp hop soul? we do Come one a Rock Steady, We'll keep you Rockin, Get ready and say We did it, We did it again"", ""Belive in the air you Breathin in Im a Mad Work Freak With a Freaky weekend No Matter What you spend because your just livin it up and damn were gonna do it again come on, you better bring some friends we having a party tonight I'm bringing juice and gin you'll beat your head (Swiss) we did it, did it again"", ""More than this, never more you whipping boy Louder Yeah we did it... Scream More than this, never more you whipping boy Yeah... Yeah we did it let's go... Just when you thought it was over, Just when you thought it was done Rip that smile back off your face Just when you thought it was over, Just when you thought it was done Rip that smile back off your face C'mon"", ""Fast Cars, Fast Brauds Cause I'm a rock and rollstar baby born in the usa Highway Harley"", ""(Kirk Kill 'em)"", ""Who loves a little rock and roll mixed with a little bit hipp hop soul? we do, we do, we do break it down, break it down"", ""More than this, never more you whipping boy Louder Yeah we did it... Scream More than this, never more you whipping boy Yeah we did it let's go..."", ""Just When you thought it was over (woah) Just When you thought it was done (yeah) Just When you thought it was safe now...(come on)"", ""We did it, did it again"", ""Just When you thought it was over (woah) Just When you thought it was done (yeah) Just When you thought it was safe now...(come on)."", ""We did it, did it again"", ""Yeah you know about that time rip that smile back of your face Oh baby Metallica, swiss what u want with this? rip that smile back of your face now you get it, come on yo. rip that smile back off your face yeah, we did it again huh, oh baby metallica, swiss beats rip that smile back off your face there's not fuckin' with that"""
