,Song_name,pink
0,leaving for the last time   ,"""I never thought that it would be, Not in my wildest dream, I've realized that your not the one for me, So why can't you see,that, I gave my all to you, But you proved my love untrue, So tell me boy what am I supposed to do, About you,about you you you oh o"", ""Chorus: I gave you what you wanted, I gave you what you need, I walked the fire for ya, But now I'm gonna leave, I'm leaving for the last time (I said I'm leaving for the last time), And now my eyes are open, Won't be a fool no more, I built my world around ya, And now I'm out the door, I'm leaving for the last time."", ""Verse 2: Days! and night would pass me by, And all I did was cry, Cause all the promises you told me where lies, So why did you deceive me? Now there's nothing left to do, But get away from you, I wish the way that I felt was so untrue, About you, About you you you oh o"", ""Chorus: I gave you what you wanted, I gave you what you need, I walked the fire for you, But now I'm gonna leave, I'm leaving for the last time (I said I'm leaving for the last time) And now my eyes are open, Won't be a fool no more, I built my world around ya, And now I'm out the door (I'm leaving for the last time)"", ""Bridge: I never thought that you would treat me this way, Turn around and think that it is ok, Boy you know that you hurt me, And I just cannot stay, You did me wrong, For so long, I'm moving on, I'm moving on, I'm leaving for the last time, Leaving for the last time, No babe"", ""Chorus: I gave you what you wanted, I gave you what you need (Yes I did) I walked the fire for ya (I, I , I'm) I'm leaving for the last time (I said I'm leaving for the last time babe) And now my eyes are open, Won't be a fool no more, I built my world around ya, And now I'm out the door, I'm leaving for the last time (I said I'm leaving for the last time baby)"", ""Chorus: I gave you what you wanted, I gave you what you need (Yes I did) I walked the fire for ya (I, I , I'm) I'm leaving for the last time (I said I'm leaving for the last time babe) And now my eyes are open, Won't be a fool no more, I built my world around ya, And now I'm out the door, I'm leaving for the last time (I said I'm leaving for the last time baby)"""
1,bad influence   ,"""Alright sir Sure I'll have another one it's early Three olives, shake it up, I like it dirty (dirty) Tequila for my friend it makes her flirty (flirty) Trust me"", ""I'm the instigator of underwear Showing up here and there uh oh (oh no) I'm always on a mission from the get-go (get-go) So what if it's only one o'clock in the afternoon It's never too soon To send out all the invitations To the last night of (your life!)"", ""Lordy, Lordy, Lordy! I can't help it I like to party, it's genetic! It's electrifying Wind me up and watch me go Where she stops, nobody knows A good excuse to be A bad influence on you"", ""And you and you and you and you And you and you and you and you And you and you and you and you And you and you and you"", ""Alright ma'am (ma'am) Calm down I know your son said he was in my house (my house) He was the captain of the football team but I turned him out He wasn't the first and he won't be the last, so tone it down This happens all the time"", ""I'm a story to tell the alibi They wanna go home I asked them (why?) It's daylight (not night) They might need a break from all the real life (get a life) It gets to be too much sometimes It's never too late To send out all the invitations To the last night of (your life!)"", ""Lordy, Lordy, Lordy! I can't help it I like to party, it's genetic! It's electrifying Wind me up and watch me go Where she stops, nobody knows A good excuse to be A bad influence on you"", ""And you and you and you and you And you and you and you and you And you and you and you and you And you and you and you"", ""I'm off to see the doctor I hope she has a cure I hope she makes me better What does that even mean? (we don't know!)"", ""Lordy, Lordy, Lordy! I can't help it I like to party, it's genetic! It's electrifying Wind me up and watch me go Where she stops, nobody knows A good excuse to be A bad influence on you"", ""Lordy, Lordy, Lordy! I can't help it I like to party, it's genetic! It's electrifying Wind me up and watch me go Where she stops, nobody knows A good excuse to be A bad influence on you"", ""Lordy, Lordy, Lordy! I can't help it I like to party, it's genetic! It's electrifying Wind me up and watch me go Where she stops, nobody knows A good excuse to be A bad influence on you And you and you and you and you And you and you and you and you And you and you and you and you And you and you and you I'm a good excuse (good excuse) To be a bad influence on you and you and you You're too tired You're not too tired!"""
2,better life   ,"""I've been up late watching you breathe Wondering if you're going to leave Don't tell me what you see That you actually believe it Fuck, I'm blue And all those photos that you like of a better life, better wife, better nights, better high Goddamn right I miss drinking Yeah, I do"", ""I've been up late nights Staring at the street lights All the cigarette smoke, can't escape a closing window And my head's like \""What happened to, it's alright\"" Baby, it's not alright What if we're a closing window"", ""But I can't shake the feeling That you picture a better life, better wife, better nights, better high I can't shake the feeling Do you picture a better life?"", ""I found myself up late feeling kinda jealous Looking at the bullshit, other peoples wellness And it's got me thinking It's just not you I've been all night looking in the eyes of my baby Right in front of me, what a gift so amazing And that's what's true"", ""But I stay up late night Screaming at the street lights All the cigarette smoke, filling up these hopeless lungs Oh, and my head's like \""What happens to, it's alright\"" Baby, it's not alright I feel like a closing window"", ""But I can't shake the feeling That you picture a better life, better wife, better nights, better high I can't shake the feeling Do you picture a better life?"", ""I can't seem to understand it How did we get so low No, no, no, no I can't seem to understand it How did we get so low No, no, no"", ""But I can't shake the feeling (I can't seem to understand it, how did we get so low) That you picture a better life, better wife, better nights, better high (no, no, no) I can't shake the feeling (I can't seem to understand it, how did we get so low) Do you picture a better life?"", ""Do you picture a better life? Ooh, do you picture a better life? And I wonder, and I wonder Do you picture a better life? (Can't shake the feeling) And I wonder (I can't shake the feeling) Do you picture Do you picture a better life?"""
3,wild hearts cant be broken   ,"""I will have to die for this I fear There's rage and terror and there's sickness here I fight because I have to I fight for us to know the truth"", ""There's not enough rope to tie me down There's not enough tape to shut this mouth The stones you throw can make me bleed But I won't stop until we're free Wild hearts can't be broken No, wild hearts can't be broken"", ""This is my rally cry I know it's hard, we have to try This is a battle I must win To want my share is not a sin"", ""There's not enough rope to tie me down There's not enough tape to shut this mouth The stones you throw can make me bleed But I won't stop until we're free Wild hearts can't be broken No, wild hearts can't be broken"", ""You beat me, betray me You're losing, we're winning My spirit above me You cannot deny me My freedom is burning This broken world keeps turning I'll never surrender There's nothing, but a victory"", ""There's not enough rope to tie me down There's not enough tape to shut this mouth The stones you throw can make me bleed But I won't stop until we're free Wild hearts can't be broken No, wild hearts can't be broken This wild heart can't be broken"""
4,crystal ball   ,"""Drinking wine and thinking bliss Is on the other side of this I just need a compass And a willing accomplice"", ""All my doubts that fill my head Are skidding up and down again Up and down and round again Down and up and round again."", ""Oh, I've had my chances And I've taken them all Just to end up right back Here on the floor To end up right back Here in on the floor"", ""Pennies in a well, a million dollars In the fountain of a hotel. Fortune teller that says \""Maybe you will go to hell\"" But I'm not scared at all Hmm hmm hmm hmm hmm"", ""The cracks in the crystal The cracks in the crystal ball"", ""Sometimes you think everything Is wrapped inside a diamond ring Love just needs a witness And a little forgivness And a halo of patience And a less sporadic pace and I'm learning to be brave In my beautiful mistakes"", ""Oh I've felt that fire And I have been burned But I wouldn't trade the pain For what I've learned I wouldn't trade the pain For what I've learned."", ""Pennies in a well, a million dollars In the fountain of a hotel. Fortune teller that says \""Maybe you will go to hell\"" But I'm not scared at all Hmm hmm hmm hmm hmm Of the cracks in the crystal The cracks in the crystal ball"", ""Irony, irony is hating love Hating love for what it does to me What it's done to me, what it's done, done"", ""Pennies in a well, a million dollars In the fountain of a hotel. Broken mirrors and A black cats cold stare Walk under ladders on my way to hell I'll meet you there But I'm not scared at all I'm not scared at all. About the cracks in the crystal The cracks in the crystal ball."""
5,but we lost it   ,"""They say everything is temporary Who the hell are they anyways I wanna know where does love go to die Is it some sad empty castle in the sky Did we just shoot too high and spoil like wine?"", ""You walked by, and it's like our bodies never touch No love, you hold me close, but I don't fell much I cry, maybe time isn't on our side We have a thing but we lost it One more go, I kinda thought if we took it slow It might be easier for us, yeah for us to know I know we never been quite here before I wish I knew it when we lost it"", ""You used to try to wake the beast in me There's still a very sleepy part of me inside I have been waiting to come alive You stared into my eyes and turned to stone And now I'm living all alone In this four walls"", ""There's a stranger, he's lying in my bed Kinda blank like the thoughts living in my bed This is the one that I felt I knew so well I think we had it but we lost it I'm still the girl that you chased all around the world I haven't changed, I've just replaced all the chains with pearls I want the same thing we did back then I know we had it but we lost it"", ""Oh... the bone breaks It grows back stronger Oh... the bone breaks It grows back stronger The bone breaks It grows back stronger Oh... the bone breaks"", ""You walked by, and it's like our bodies never touch No love, you hold me close, but I don't fell much I cry, maybe time isn't on our side We have a thing but we lost it One more go, I kinda thought if we took it slow It might be easier for us, yeah for us to know I know we never been quite here before I wish I knew it when we lost it Yeah... I wish I knew it when we lost it"""
6,ave mary a   ,"""Motorcycle's in the parking lot Revving their engines and it just wont stop Matches the noise screaming in my head Houston I think we got a problem"", ""Where does everybody go when they go The go so fast I don't think they know We hate so fast And we love too slow London I think we got a problem"", ""And when I think about it I just can't think about it I try to drink about it I keep spinning"", ""Ave Mary A Where did you go Where did you go How did you know to get out of a world gone mad Help me let go Of the chaos around me The devil that hounds me I need you to tell me"", ""Child be still Child be still"", ""Broken hearts all around the spot I can't help thinking that we lost the plot Suicide bomber and a student shot Tokyo I think we got a problem"", ""But for that they have got a pill If that don't kill you then the side effects will If we don't kill each other then the side effects will Cape town I think we got a problem"", ""Ave Mary A Where did you go Where did you go How did you know to get out of a world gone mad Help me let go Of the chaos around me The devil that hounds me I need you to tell me"", ""Child be still"", ""If the darkest hour comes Before the light Where is the light Where is the light"", ""If the darkest hour comes Before the light Where is the light Where is the light Where is the light, yeah"", ""Ave Mary A Where did you go Where did you go How did you know to get out of a world gone mad Help me help me let go Of the chaos around me The devil that hounds me I need you to tell me"", ""Child be still Child be still Child be still"""
7,good old days   ,"""One, two, three, four, Five years go by I don't really know why I don't really know why"", ""Seven, eight, nine, Eleven years go by I don't really know why I don't really know why"", ""I still, feel the same Way I did when I was seventeen I still, look over my should-er Waiting for the world to change"", ""But these are the good old day-ays These are the good old day-ay-ays These are the good old days And I think I'd like to stay"", ""Oh, I'd like to stay Oh, I'd like to stay"", ""One, two, three, four, Five years ago, I didn't see a belly With a child on the inside"", ""Six, seven, eight, Ten years ago, I thought I knew about love I only knew about the fight"", ""I look back and I realize All those times I was lonely Praying for, someday to hur-ry up And come and save me"", ""But these are the good old day-ays These are the good old day-ay-ays These are the good old days And I wish that I could stay"", ""I wish that I could stay! I wish I could stay! (These are the good old days) That I could stay! (These are the good old days)"", ""And the moment you let go The faster the time goes The darker the night is The lighter the moon glows"", ""These are the good old day-ays These are the good old day-ay-ays"", ""One, two, three, four, Five years from now, I hope I'm still gettin' down Hope I'm still around"", ""But six, seven, eight, Ten beers ago, I had a revelation, All's well right now"", ""It's all good right now It's all good right now It's all good right now!"", ""But these are the good old day-ays (Good old days) These are the good old day-ay-ays (These are the good old days) These are the good old days (Good old days) And I wish that I could stay"", ""These are the good old day-ays (Good old days) These are the good old day-ay-ays (These are the good old days) These are the good old day-ays (Good old days) I wish that I could stay"", ""These are the good old day-ays (Good old days) These are the good old day-ay-ays (These are the good old days) These are the good old days (Good old days) And I wish that I could stay"", ""I wish that I could stay And I wish that I could stay (These are the good old day-ays) And I wish that I could stay"", ""(These are the good old day-ays) These are the good old days, yeah (These are the good old day-ays) These are the good old days, yeah (These are the good old day-ays) These are the good old days, yeah (These are the good old day-ays)"""
8,fingers   ,"""I'm alone now staring at the cieling I'm kinda bored now, I can't sleep And you only can make my life complete And when you come you slip into a dream"", ""When it's late at night and you're fast asleep I let my fingers do the walking I press record, I become a fiend While no one else is watching I let my fingers do the walking"", ""I'm starving for some attention I'm begging, pleading, bleeding for a suggestion I bite my tongue because I wanna scream I'm almost there then you turn and look at me"", ""When it's late at night and you're fast asleep I let my fingers do the walking I press record I become a fiend While no one else is watching I let my fingers do the walking"", ""Rewind and you will see While in the morning I'm happy Right there on the tv screen Me vengo, me vengo"", ""I'm restless, you need some caffeine I'm wasted if you could only see Cuz I need more than you are gonna give"", ""When it's late at night and you're fast asleep I let my fingers do the walking I press record I become a fiend While no one else is watching I let my fingers do the walking"""
9,do what u do   ,"""I like that though That's what's up?"", ""Some people like the summer when it's hot Some people like the winter cold Some people speak their minds when they wanna And some other people ain't so bold"", ""Whatever it is that you do You should do you should so with your head held high So when you're doing you're thing it's 'cause you wanna And they never can ask you why"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life, gotta make your own rules And you gotta do it, do it your own way"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life, gotta make your own rules And you gotta do it, do it your own way"", ""Oh, oh, oh Oh, oh, oh, oh Oh, oh, oh Oh, oh, oh, oh, oh"", ""Some like it easy when others they lite it rough But ain't nobody gotta like it but you Girl, boy, boy, girl, girl, girl, boy, boy Whatever you should do what you do"", ""How can they tell you that you could or should? Would or wouldn't, well ask 'em can they walk in your shoes 'Cause it's you life and you do what you wanna And remember baby it's all about you"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life gotta make your own rules And you gotta do it, do it your own way"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life gotta make your own rules And you gotta do it, do it your own way, yeah"", ""Oh, oh, oh Oh, oh, oh, oh Oh, oh, oh Oh, oh, oh, oh, oh"", ""So if it's on your mind then you should speak your piece And say what'cha say And if you want it done then you should get it done And do it your way"", ""So if it's on your mind then you should speak your piece And say what'cha say And if you want it done then you should get it done And do it your way"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life, gotta make your own rules And you gotta do it, do it your own way"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life, gotta make your own rules And you gotta do it, do it your own way"", ""Oh, oh, oh Oh, oh, oh, oh Oh, oh, oh Oh, oh, oh, oh, oh"", ""Oh, oh, oh Oh, oh, oh, oh Oh, oh, oh Oh, oh, oh, oh, oh"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life, gotta make your own rules And you gotta do it, do it your own way"", ""I say do what u do say what you say Mean what you mean when you say 'Cause it's your life, gotta make your own rules And you gotta do it, do it your own way"""
