,Song_name,queen
0,in only seven days   ,"""Words and music by john deacon Monday the start of my holiday freedom for just one week feels good to get away ooh Tuesday i saw her down on the beach i stood and watched a while and she looked and smiled at me Wednesday i didn't see her i hoped that she'd be back tomorrow and then on thursday my luck had changed she stood there all alone i went and asked her name i never thought that this could happen to me in only seven days it would take a hundred or more for memories to fade I wish friday would last for ever i held her close to me i couldn't bear to leave her there Saturday just twenty four hours oh no i'm going back home on sunday Ooh so sad alone"""
1,clebrity   ,"""Ain't got no hope Got no idea What to do Or why I'm here Wanna get my face On your TV I wanna be heard I want to be seen"", ""Ain't got nothin' No Nothing Nothin' to show Make me a c-lebrity"", ""I want to be A face on TV (I wanna be on your screen) Then you can see I'm a c-lebrity"", ""I wanna get my features In magazines See this creature on every street On every screen Write my life story Before I'm twenty one I got to tell the world They may say I'm dumb but er"", ""Ain't got nothin' No Nothing Nothing to show Make me a c-lebrity"", ""I want to be A face on TV (I wanna be on your screen) Then you can see I'm a c-lebrity"", ""I wanna be a star In a Broadway musical They're gonna love me I can't sing or dance at all Some may say I'm lackadaisical And if I was real good I'd stand no chance at all"", ""I want to be A face on TV (Yeah I wanna be on your screen) Then you can see I'm a c-lebrity Then you can say You knew me one day Then you will see I'm a c-lebrity"", ""C c-lebrity Wanna be a c c c-lebrity Make my dream come true C c-lebrity Wanna be a c c c c-lebrity I wanna be heard I want to be seen On every TV screen"""
2,coming soon   ,"""Oooo oooo oooo oooo Oooo oooo oooo oooo Oh oh oh oh oh oh oh oh oh oh I get some headaches when I hit the heights Like in the morning after crazy nights Oooo oooo oooo oooo Oooo oooo oooo oooo Like some mother in law in her nylon tights They're always They're always They're always They're always Coming Soon Coming Soon, on the outside, of the tracks You take 'em The same old babies with the same old toys The neighbours screaming when the noise annoys Oooo oooo oooo oooo Oooo oooo oooo oooo Somebody nagging you when you're out with the boys They're always They're always They're always They're always Coming Soon Coming Soon, on the outside of the track Yeah, yeah, yeah Watch me now, ooh"", ""They're always They're always They're always They're always Coimng soon Coming Soon, on the outside of the track Coming Soon Coming Soon, on the outside of the track Yeah yeah yeah"""
3,back to the light   ,"""Far, far from the light Here the night creatures call In the cold breath they howl And the hollow tears, they're calling you"", ""I'll be there, though maybe you wont see my babe I'll still care, no mater where I'll still be there When you make to the other side"", ""Lord I'm going back, back to the light Back to the dreams that are paved with gold Back to the light Back to the land, where the sunshine heals my soul"", ""Deep, deep in the night When the world fils with tears And the wind grows, colder and colder it grows And the fire dimes, with the same old fears"", ""I'll be there, no matter what you're going through In the dark I care, I'm holding on, I'm hoping on It's still the same old me inside#"", ""Lord I'm going back, back to the light Back to the dreams that are paved with gold Back to the light Back to the land, where the sunshine heals my soul"", ""On and on, searching for the clearer view Winning and loosing an inner war Wondering what we do it for Though the road seems never ending Hold on to the hope I'm sending through"", ""No matter where you're going to I'll be there I'm holding on, believe it We'll be walking in the light 'cos there'll be no place left to hide"", ""Back to the light Back to the dreams that are paved with gold Back to the light Back to the land, where the sunshine heals my soul Let me hear you babes - yeah, yeah, yeah"""
4,we are the champions live aid   ,"""I've paid my dues time after time I've done my sentence, but committed no crime And bad mistakes, I've made a few I've had my share of sand kicked in my face"", ""But I've come through (And we mean to go on, and on, and on, and on)"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions, we are the champions No time for losers 'cause we are the champions of the world"", ""I've taken my bows and my curtain calls You brought me fame and fortune And everything that goes with it, I thank you all But it's been no bed of roses, no pleasure cruise I consider it a challenge before the whole human race"", ""And I ain't gonna lose (And we mean to go on, and on, and on, and on)"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions, we are the champions No time for losers 'cause we are the champions of the world"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions, we are the champions No time for losers 'cause we are the champions"""
5,vultans theme attack of the hawk men   ,"""We are not in a position to display these lyrics due to licensing restrictions. Sorry for the inconvinience."""
6,radio ga ga live aid   ,"""I'd sit alone and watch your light My only friend through teenage nights And everything I had to know I heard it on my radio"", ""You gave them all those old time stars Through wars of worlds, invaded by Mars You made 'em laugh, you made 'em cry"", ""You made us feel like we could fly"", ""So don't become some background noise A backdrop for the girls and boys Who just don't know or just don't care And just complain when you're not there You had your time, you had the power"", ""You've yet to have your finest hour Radio"", ""All we hear is Radio ga ga Radio goo goo Radio ga ga All we hear is Radio ga ga"", ""Radio ga ga Radio what's new Radio, someone still loves you"", ""We watch the shows, we watch the stars On videos for hours and hours We hardly need to use our ears How music changes through the years"", ""Let's hope you never leave old friend Like all good things on you we depend"", ""So stick around cos we might miss you When we grow tired of all this visual You had your time, you had the power You've yet to have your finest hour Radio"", ""All we hear is Radio ga ga Radio goo goo Radio ga ga All we hear is Radio ga ga Radio goo goo Radio ga ga All we hear is Radio ga ga Radio ga ga Radio what's new Someone still loves you Radio ga ga Radio ga ga Radio ga ga You had your time, you had the power You've yet to have your finest hour Radio"""
7,a kind of magic   ,"""It's a kind of magic It's a kind of magic A kind of magic One dream, one soul, one prize, one goal One golden glance of what should be (it's a kind of magic) One shaft of light that shows the way No mortal man can win this day (it's a kind of magic) The bell that rings inside your mind Is challenging the doors of time (it's a kind of magic) The waiting seems eternity The day will dawn of sanity Is this a kind of magic? (it's a kind of magic) There can be only one This rage that lasts a thousand years Will soon be done This flame that burns inside of me"", ""I'm hearing secret harmonies (it's a kind of magic) The bell that rings inside your mind"", ""Is challenging the doors of time It's a kind of magic It's a kind of magic This rage that lasts a thousand years Will soon be, will soon be, will soon be done This is (this is) a kind (a kind) of magic (yeah) There can be only one (one one one) This rage that lasts a thousand years"", ""Will soon be done (done) Magic (it's a kind of magic) It's a kind of magic Magic magic magic magic Ha ha ha haa - it's magic"", ""Ha haa Yeah yeah Wooh It's a kind of magic"""
8,thank god its christmas 2011 remaster   ,"""Oooh, my love We've had a share of tears Oooh, my friends We've had our hopes and fears Ooh, my friends It's been a long hard year"", ""But now it's christmas Yes, it's christmas Thank god it's Christmas"", ""The moon and stars Seem awful cold and bright Let's hope the snow Will make this Christmas right"", ""My friends The world will share this special night"", ""Because it's Christmas Yes, it's Christmas Thank god it's Christmas For one night"", ""Thank god it's Christmas Yeah Thank god it's Christmas Thank god it's Christmas Can't it be Christmas? Let it be Christmas? Every day"", ""Oh, my love We live in troubled days Oh, my friend We have the strangest ways Oh, my friends All this, one day, all days Thank god it's Christmas Yes, it's Christmas Thank god it's Christmas For one day"", ""Thank god it's Christmas Yes, it's Christmas Thank god it's Christmas Wooo yeah Thank god it's Christmas Yeahyeahyeayes it's Christmas Thank god it's Christmas For one day"", ""Christmas A very Merry Christmas to you all"""
9,las palabras de amour   ,"""Queen Miscellaneous Las Palabras De Amor (The Words Of Love) Don't touch me now Don't hold me now Don't break the spell darling, now you are near Look in my eyes And speak to me The special promises I want to hear Las palabras de amor Let me hear the words of love Despacito mi amor Love me slow and gently One foolish world, so many souls Senselessly hurled through the never ending cold And all for fear, and all for greed Speak any tongue but for God's sake we need Let me hear the words of love Despacito mi amor Let me know, this night and evermore This room is bare This night is cold We're apart and I'm growing old But while we live, we'll meet again So then my love we may whisper once more It's you I adore Las palabras de amor Let me hear the words of love Despacito mi amor Touch me now Las palabras de amor Let us share the words of love For evermore For evermore"""
