,Song_name,travis
0,three miles high   ,
1,rock n salad roll   ,"""Said you were a friend How did you do that Said you'd be there till the end Now you're cheating me like a cat Flat, flap"", ""You're a rock n salad roll Born to loose control You're living your life On the edge of the bowl"", ""Oh, said you are a foll How did you do that Soul your soul you sold your soul You're stuck at the point of rat Traps, trap"", ""You're a rock n salad roll Born to loose control You're breaking my knees And stubbing my toe"", ""You're a rock n salad roll Born to loose control You're living your life On the edge of the bowl"", ""Oh bless my soul"""
2,blue on a black weekend   ,"""When tomorrow becomes yesterday You need a sixth sence When the ground don't swallow you up There's such a silence, Oh no It doesn't need anybody to mess you up It doens't need anybody to kiss you It doesn't mean that they don't really miss you They do Don't you It's true When your blue on a black weekend come and see me when you need a friend blue on a black weekend oh no oh no You're not heavey its only gravity that's pulling burn your telly cos it's to blame for all your brooding, Oh no It doesn't need anybody to mess you up It doesn't need anybody to kiss you It doesn't mean that they don't really miss you They do don't you it's true When your blue on a black weekend come and see me when you need a friend Blue on a black weekend oh no oh no oh on oh no, oh no oh no oh no, ohhhh! Noooooooooooo!"""
3,a little bit of soul   ,"""What would you be if you weren't an animal? Who would you eat if you were a cannibal? Where do we go when our evolution is done?"", ""You're going home, you're tired of incident Kicked in the head by a nasty accident One with only half opposable thumbs"", ""Give me mine is what we're told When all we need's a little bit of soul Give it up and give away It's only yours to borrow anyway"", ""What will you have when there's nothing left to take? Who will you hit when there's no one left to hate? Where will you go when you're going out on your own?"", ""We're all born in total ignorance Perfect as a happy accident Lose yourself, see how far you can go"", ""Give me silver, give me gold But all we need's a little bit of soul Give it up and give away It's only yours to borrow anyway"", ""Give me mine is what we're told When all we need's a little bit of soul Give it up and give away It's only yours to borrow anyway"", ""What would you be if you weren't an animal? Who would you eat if you were a cannibal? Where do we go when our evolution is done?"""
4,standing on my own   ,"""It's so sad to be alone No one cares for no one's home So if you're there Pick up the phone Cos I'm standing on my own"", ""Ain't it good to know you're right And don't it soothe (suit) the darker nights But pretty soon it will be light Ain't it good to know you're right"", ""But I'm standing on my own And this house is not a home It's so sad to see you go Things are high, things are low And it's good to know you know If you got nowhere to go And you could spend the night with me I will sleep on the settee"", ""It's so sad to be alone No one cares cos no one's home So if you're there Pick up the phone Because I'm standing on my own Because I'm standing on my own"""
5,combing my hair   ,"""Now people always come around But they don't always stick around I run a comb across my head I wish my hair would settle down The clock I see is running slow The batteries are running low I run a comb across my head And it feels the same like it did before You're just another first footer across my door And little less care (hair?) than I had last year But it doesn't worry me because I I have no fear Here"", ""The car I see is painted black I'm steering (staring) at the driver's back He runs a comb across his head And it feels the same like it did before You're just another fresh fare across his door And little less care than he had last year But it doesn't worry him because he He has no fear Here, here"", ""Now people always come around But they don't always stick around They run a comb across your head I wish my hair would settle down The clock I see is running slow We've only got three years to go We run our combs across our heads And it feels the same like it did before You're just another first footer across the door And little less care than we took last year But it doesn't worry us because we We have no fear Here Have we We have no fear Have we We have no fear"""
6,paperclips   ,"""Paperclips, melody Hold together all these memories Memories, memories I don't wanna think at all"", ""I don't wanna be like you anymore I don't wanna see your face at my door And I'll never leave like you, that's for sure I don't wanna be like you anymore, anymore, anymore"", ""Take a trip, down memory lane You will never wanna go again Take your leave, take your leave I don't wanna sing at all"", ""I don't wanna be like you anymore I don't wanna see your face at my door And I'll never leave like you, that's for sure I don't wanna be like you anymore, anymore, anymore"", ""Ever talk, decide out We get by, we'll get by And I won't take this No more sadness, no, no"", ""Paperclips, memories Hold together all these melodies Melodies, melodies I don't wanna sing at all"", ""I don't wanna be like you anymore I don't wanna see your face at my door And I'll never leave like you, that's for sure I don't wanna live like you anymore, anymore, anymore"""
7,as you are   ,"""Everyday I wake up alone because I'm not like all the other boys"", ""And ever since I was young I had no choice But it's OK to lead me on I must admit it's not much fun To be led on by such a one"", ""As you are As you are As you are"", ""And ever since I woke up I felt the net Was lifting me out of the sea"", ""And even when I'm sinking I feel the need But it's OK to lead me on I must admit it's not much fun To be alone with such a one"", ""As you are As you are As you are"", ""And ever since a long time I felt the rain And there was no danger And no more strangers"", ""As you are"""
8,city in the rain   ,"""If you find the time to get away Opportunity may come your way You can take a bus or catch the train Let me tell you now you'll want to stay Sky was brown Trees were green Birds all sang a song in vain City in the rain (x3) We were sitting in the Sitting in the city in the rain"", ""Won't you tell me what you came to see Came to see the university I trust you had a very pleasant day Actually it wasn't quite that way The sky was brown Trees were green The birds all sang a song in vain City in the rain (x3) We were sitting in the Sitting in the city in the rain Oh what fun we had T he weather wasn't that bad There just is no sun Oh no here it comes"", ""If you find the time to get away Opportunity may come your way You can take a bus or catch the train Let me tell you now you'll want to stay The sky was brown The trees were green The birds all sang a song in vain City in the rain (x3) We were sitting in the Sitting in the city in the rain"""
9,some sad song   ,"""In the church one day you'll get hurt In the school teacher's such a fool And if they would ever come round here They would ever come Blame it on my style Take a pill Don't tell me how to feel"", ""Bad news and tunes Sing it from the high Singing some sad song"", ""Uncle Sam, playing in the sand Understand, hold my hand Time is never gonna stop running Never gonna stop Take me to the top Of the trees Don't take me for a cracked window pane"", ""Bad news and tunes Are shining from the high Singing some sad song"", ""Don't rehearse, this is the last verse In the hearse, going through your purse And if they would ever laugh, not here They would ever laugh Blame it on my style, once again Don't take me for a ride In the rain"", ""Bad news and tunes Shining from the high Singing some sad song"""
10,writing to reach you   ,"""Everyday I wake up and it's sunday Whatever's in my eye won't go away The radio is playing all the usual And what's a wonderwall anyway"", ""Because my inside is outside My right side is on the left side Cause I writing to reach you now but I might never reach you Only want to teach you About you But that's not you"", ""It's good to know that you are home from christmas It's good to know that you are doing well It's good to know that you all know I'm hurting It's good to know I'm feeling not so well"", ""Because my inside is outside My right side is on the left side Cause I'm writing to reach you now but I might never reach you Only want to teach you About you But that's not you You know it's true But that won't do"", ""Maybe then tomorrow will be Monday And whatever's in my eye should go away But still the radio is playing all the usual"", ""And what's a wonderwall anyway Because my inside is outside My right side is on the left side Cause I'm writing to reach you now but I might never reach you Only want to teach you About you But that's not you You know it's true But that won't do And you know it's you I'm talking to..."""
11,dont be shy   ,"""Don't be shy just let your feelings roll on by Don't wear fear or nobody will know you're there Just lift your head, and let your feelings out instead And don't be shy, just let your feeling roll on by On by"", ""You know love is better than a song Love is where all of us belong So don't be shy just let your feelings roll on by Don't wear fear or nobody will know you're there You're there"", ""Don't be shy just let your feelings roll on by Don't wear fear or nobody will know you're there Just lift your head, and let your feelings out instead And don't be shy, just let your feeling roll on by On by, on by, etc."""
12,interview   ,
13,the cage   ,"""You broke the bread We drank the wine Your lip was bleedin' but it was fine Come on inside babe Across the line I love you more than I"", ""But then this bird just flew away She was never meant to stay Oh to keep her caged Would just delay the spring"", ""You broke your word Now that's a lie We had a deal that you would try Come on inside girl I think it's time High time we drew the line"", ""But then this bird just flew away While I looked the other way Oh to keep her caged Would just delay the spring"", ""You broke my soul dear You stole the plot You left an empty shot There's nothing left here 'Cause you took the lot an empty cage is all I've got"", ""'Cause when your bird has flown away She was never meant to stay Oh to keep her caged Would just delay the spring To keep her caged Would just delay... the spring"""
14,ring out the bell   ,"""I'm so lonely God won't know me I can hardly get up I sold my halo back in April Now I can't hold my head up"", ""So ring out the bell I'll fly where there's someone to tell My shoulders are colder since I fell"", ""Someone see me feel me breathing Someone get me home soon If I see sunrise and screw up my eyes I don't feel so lonesome"", ""So ring out the bell I'll fly where there's someone to tell My shoulders are colder since I fell I'm doing fine, I'm getting by Tell me what I should do God knows why I'm watching the sky Getting so blue"", ""One fine morning without warning I'll go through the blue sky Until I do I'll wait for you So I can get this right"", ""So ring out the bell I'll fly where there's someone to tell My shoulders are colder since I fell"", ""So ring out the bell I'll fly where there's someone to tell My shoulders are colder since I fell"""
15,luv   ,"""What's so wrong? Why the face so long? Is it over? And where you going that you no longer belong here? And distance tells you that distance must come between love Where have you been, Luv? When the mistake we made Was in never having planned to fall to fall in love, Luv"", ""Singing this song Singing along Makes it easier for me to see you go But in doing so In letting you go It only serves to show me that I'm still in love with you"", ""Singing this song Singing along Makes it easier for me to see you go But in doing so In letting you go It only serves to show me that I'm still in love with you"", ""So what's so wrong? Why the face so long? Are you changing? And where you been to that you no longer remember? And distance tells you that distance must come between love Where have you been, Luv? When the mistake we made Was in never having planned to fall to fall in love, Luv"", ""It's just the chance we took Having never ever planned to fall in love, Luv It's just the chance we took Having never ever planned to fall in love, Luv Luv"""
